Colonia,CP,Tipo
Ranchería,Los Riegos,30107
Ranchería,Pozo Nuevo,30107
Ranchería,Primero de Mayo,30107
Ranchería,Río Grande,30106
Ranchería,San Francisco el Rincón,30106
Ranchería,San Isidro Tinajab,30107
Ranchería,San José Yocnajab,30109
Ranchería,San Miguel Tinajab,30107
Ranchería,San Rafael Jocom,30106
Ranchería,Santa Rosalía,30101
Ranchería,Señor del Pozo,30107
Unidad habitacional,Zona Militar 15 Regimiento,30099
Zona federal,Panteón Municipal,30028
