🚀 Geocodificando TODAS las colonias de Comitán con Mapbox...
📋 Asignando zonas automáticamente según el tabulador maestro
=================================================================
📌 Total a procesar: 255 colonias (169 del padrón + 86 de tu lista)

  🔴 [89/255] Ejido → ROJO $45 | 16.25058,-92.13736
  🔴 [90/255] Ejido → ROJO $45 | 16.25058,-92.13736
  🔴 [91/255] Ejido → ROJO $45 | 16.25058,-92.13736
  🔴 [92/255] Ejido → ROJO $45 | 16.25058,-92.13736
  🔴 [93/255] Ejido → ROJO $45 | 16.25058,-92.13736
  🔴 [94/255] Fraccionamiento → ROJO $45 | 16.25058,-92.13736
  🔴 [95/255] Fraccionamiento → ROJO $45 | 16.25058,-92.13736
  🔴 [96/255] Fraccionamiento → ROJO $45 | 16.25058,-92.13736
  🔴 [97/255] Fraccionamiento → ROJO $45 | 16.25058,-92.13736
  🔴 [98/255] Fraccionamiento → ROJO $45 | 16.25058,-92.13736
  🔴 [99/255] Fraccionamiento → ROJO $45 | 16.25058,-92.13736
  🔴 [100/255] Fraccionamiento → ROJO $45 | 16.25058,-92.13736
  🔴 [101/255] Fraccionamiento → ROJO $45 | 16.25058,-92.13736
  🔴 [102/255] Fraccionamiento → ROJO $45 | 16.25058,-92.13736
  🔴 [103/255] Fraccionamiento → ROJO $45 | 16.25058,-92.13736
  🔴 [104/255] Fraccionamiento → ROJO $45 | 16.25058,-92.13736
  🔴 [105/255] Fraccionamiento → ROJO $45 | 16.25058,-92.13736
  🔴 [106/255] Fraccionamiento → ROJO $45 | 16.25058,-92.13736
  🔴 [107/255] Fraccionamiento → ROJO $45 | 16.25058,-92.13736
  🔴 [108/255] Fraccionamiento → ROJO $45 | 16.25058,-92.13736
  🔴 [109/255] Fraccionamiento → ROJO $45 | 16.25058,-92.13736
  🔴 [110/255] Fraccionamiento → ROJO $45 | 16.25058,-92.13736
  🔴 [111/255] Fraccionamiento → ROJO $45 | 16.25058,-92.13736
  🔴 [112/255] Fraccionamiento → ROJO $45 | 16.25058,-92.13736
  🔴 [113/255] Fraccionamiento → ROJO $45 | 16.25058,-92.13736
  🔴 [114/255] Fraccionamiento → ROJO $45 | 16.25058,-92.13736
  🔴 [115/255] Fraccionamiento → ROJO $45 | 16.25058,-92.13736
  🔴 [116/255] Fraccionamiento → ROJO $45 | 16.25058,-92.13736
  🔴 [117/255] Fraccionamiento → ROJO $45 | 16.25058,-92.13736
  🔴 [118/255] Fraccionamiento → ROJO $45 | 16.25058,-92.13736
  🔴 [119/255] Fraccionamiento → ROJO $45 | 16.25058,-92.13736
  🔴 [120/255] Fraccionamiento → ROJO $45 | 16.25058,-92.13736
  🔴 [121/255] Fraccionamiento → ROJO $45 | 16.25058,-92.13736
  🔴 [122/255] Fraccionamiento → ROJO $45 | 16.25058,-92.13736
  🔴 [123/255] Fraccionamiento → ROJO $45 | 16.25058,-92.13736
  🔴 [124/255] Fraccionamiento → ROJO $45 | 16.25058,-92.13736
  🔴 [125/255] Fraccionamiento → ROJO $45 | 16.25058,-92.13736
  🔴 [126/255] Fraccionamiento → ROJO $45 | 16.25058,-92.13736
  🔴 [127/255] Fraccionamiento → ROJO $45 | 16.25058,-92.13736
  🔴 [128/255] Fraccionamiento → ROJO $45 | 16.25058,-92.13736
  🔴 [129/255] Fraccionamiento → ROJO $45 | 16.25058,-92.13736
  🔴 [130/255] Fraccionamiento → ROJO $45 | 16.25058,-92.13736
  🔴 [131/255] Fraccionamiento → ROJO $45 | 16.25058,-92.13736
  🔴 [132/255] Fraccionamiento → ROJO $45 | 16.25058,-92.13736
  🔴 [133/255] Fraccionamiento → ROJO $45 | 16.25058,-92.13736
  🔴 [134/255] Fraccionamiento → ROJO $45 | 16.25058,-92.13736
  🔴 [135/255] Fraccionamiento → ROJO $45 | 16.25058,-92.13736
  🔴 [136/255] Fraccionamiento → ROJO $45 | 16.25058,-92.13736
  🔴 [137/255] Fraccionamiento → ROJO $45 | 16.25058,-92.13736
  🔴 [138/255] Fraccionamiento → ROJO $45 | 16.25058,-92.13736
  🔴 [139/255] Fraccionamiento → ROJO $45 | 16.25058,-92.13736
