Nombre,Tipo,CVE_MUN,Latitud,Longitud
"LA PAZ","FRACCIONAMIENTO","019",256168.183250,1779257.977250
"PRIVADA LAS ORQU�DEAS","FRACCIONAMIENTO","019",254873.801750,1777840.653400
"NINGUNO","NINGUNO","019",256387.274050,1780105.626050
"CHICHIMA BENITO JU�REZ","BARRIO","019",254610.934150,1780855.801050
"VILLA LAUREL","COLONIA","019",255249.749650,1780295.638300
"ARBOLEDAS 3","FRACCIONAMIENTO","019",254922.457550,1777801.820950
"PAZT�N","BARRIO","019",255294.826150,1777548.073150
"BOSQUES TERCERA SECCI�N","COLONIA","019",255000.997650,1777675.449350
"AGUA VIVA","COLONIA","019",255723.345650,1780127.790150
"AGUIFLOR","COLONIA","019",254317.859200,1780546.294950
"AN�HUAC","COLONIA","019",254435.794550,1780540.581250
"ARBOLEDAS 1","FRACCIONAMIENTO","019",254840.456550,1777692.359000
"ARBOLEDAS 2","FRACCIONAMIENTO","019",254847.300850,1777658.947950
"CONCEPCI�N BELLA VISTA","COLONIA","019",254541.448550,1778452.596750
"CHILCAS 4","COLONIA","019",255697.473150,1779612.044650
"COMIT�N COLONIAL","FRACCIONAMIENTO","019",255001.773450,1777736.000950
"COMITANCILLO","COLONIA","019",254329.380150,1778311.899950
"COMITL�N","FRACCIONAMIENTO","019",255155.590350,1779772.483850
"EL BAMB�","COLONIA","019",255100.600350,1780091.397250
"EL BRASILITO","COLONIA","019",254016.384850,1778955.018000
"EL ESPINAL","COLONIA","019",254708.561950,1780308.665550
"EL JARD�N","COLONIA","019",255395.038450,1780016.356800
"EL TULE","COLONIA","019",255375.443050,1780092.308600
"ESMERALDA","COLONIA","019",254953.221550,1778243.451650
"GUADALUPE TEPEYAC","COLONIA","019",254035.342400,1778491.833300
"JOYAS DEL PEDREGAL","FRACCIONAMIENTO","019",254681.272650,1778357.944650
"LAS BRISAS 1","COLONIA","019",254072.448850,1778887.874550
"LAS FLORES DE LA CI�NEGA","COLONIA","019",256244.460150,1779458.744300
"LAS GARDENIAS","COLONIA","019",255874.627300,1779652.414900
"LAS LAJITAS PRIMERA SECCI�N","COLONIA","019",256393.611650,1778667.575000
"LAS PALMAS","FRACCIONAMIENTO","019",255172.891150,1779803.744750
"LAS PERLAS","FRACCIONAMIENTO","019",254262.991950,1778373.184150
"LAS PERLAS","COLONIA","019",254970.828850,1779557.209150
"LAS ROSAS","COLONIA","019",254796.559850,1780312.194400
"LAS TERRAZAS","FRACCIONAMIENTO","019",255261.165650,1779373.891650
"LAS TINAJAS","FRACCIONAMIENTO","019",254525.591850,1780202.258350
"LOMAS DEL VALLE","FRACCIONAMIENTO","019",254684.735550,1777997.073650
"LOS LAGOS","FRACCIONAMIENTO","019",254948.655350,1779613.235250
"LOS PINOS","FRACCIONAMIENTO","019",254448.163400,1779113.661950
"LOS PORTALES","FRACCIONAMIENTO","019",254145.777450,1778411.282900
"MANUEL VELASCO SU�REZ","FRACCIONAMIENTO","019",256455.457300,1780259.916650
"MIRAMAR","FRACCIONAMIENTO","019",255567.919550,1779629.640150
"MONTE VERDE","FRACCIONAMIENTO","019",254569.174400,1778297.381200
"NINGUNO","NINGUNO","019",253417.253050,1779452.036450
"NINGUNO","NINGUNO","019",254078.680000,1778430.646800
"NI�OS H�ROES","COLONIA","019",253343.840750,1779060.938350
"PARA�SO CHICHIMA","COLONIA","019",254331.909250,1778538.585250
"PRIMAVERA","COLONIA","019",254668.219850,1778558.324750
"ROSARIO CASTELLANOS","FRACCIONAMIENTO","019",254563.017750,1780794.662950
"REAL BAL�N CAN�N","COLONIA","019",255003.380150,1777927.839750
"SALAZAR ROBLES","FRACCIONAMIENTO","019",255856.938950,1779775.404350
"SAN JUAN","COLONIA","019",255244.563950,1779642.097950
"SAN MIGUEL SEGUNDA SECCI�N","COLONIA","019",256463.970950,1778597.875700
"SANTA CRUZ","COLONIA","019",254960.739750,1779314.988150
"SOLIDARIDAD LAS JACARANDAS","COLONIA","019",255402.859950,1777979.610450
"VALLE SABINES","COLONIA","019",254662.489150,1778213.370400
"BONAMPAK","BARRIO","019",255776.433900,1779352.490100
"BOSQUE REAL","FRACCIONAMIENTO","019",253894.138750,1779030.416150
"CHICHIMA ACAPETAHUA","BARRIO","019",253746.979950,1780324.172250
"CHICHIMA CONCEPCI�N","BARRIO","019",254428.565550,1779882.228650
"CHICHIMA GUADALUPE","BARRIO","019",253582.298950,1779488.449450
"EL CEDRO","BARRIO","019",256701.508350,1779050.765950
"EL ROSARIO","FRACCIONAMIENTO","019",255106.475750,1777716.625750
"LA REJOYITA","COLONIA","019",253526.801750,1779677.010150
"LAS BRISAS 2","COLONIA","019",254003.769450,1778699.711650
"LAS BRISAS 3","COLONIA","019",253964.030450,1778599.799450
"LAS GUAYABAS","COLONIA","019",255168.626550,1777723.493750
"LAS LAJITAS SEGUNDA SECCI�N","COLONIA","019",256422.510350,1778633.399050
"LOS GIRASOLES","FRACCIONAMIENTO","019",254594.539650,1779529.744750
"NINGUNO","NINGUNO","019",252885.581550,1779307.740950
"NINGUNO","NINGUNO","019",252836.187950,1778986.500350
"PERIC�N","FRACCIONAMIENTO","019",255188.642050,1779942.682800
"RESIDENCIAL LA CUEVA","FRACCIONAMIENTO","019",255489.314650,1777858.542550
"SANTA MARTHA CHICHIMA","COLONIA","019",253113.777050,1779281.207150
"TEPEYAC SEGUNDA SECCI�N","COLONIA","019",256431.208550,1778695.898200
"CERRITO NITRE","BARRIO","019",256034.890350,1779817.945850
"NICALOCOK","BARRIO","019",254870.789050,1778310.498450
"NICALOCOK","BARRIO","019",255038.874650,1778152.929350
"NICALOCOK","BARRIO","019",255275.389150,1778658.033850
"SAN MIGUEL","BARRIO","019",256424.251300,1778752.375850
"SAN MIGUEL","BARRIO","019",256491.237450,1778554.555600
"SAN MIGUEL","BARRIO","019",256506.256250,1778672.384650
"LA REPRESA","BARRIO","019",255785.366350,1777518.905250
"LA REPRESA","BARRIO","019",256154.631650,1778010.271150
"LA CI�NEGA","BARRIO","019",256100.082400,1779243.319950
"LA CI�NEGA","BARRIO","019",256449.749750,1780162.904950
"LAS FLORES","BARRIO","019",254873.801750,1777809.636150
"LAS FLORES","BARRIO","019",254915.605350,1777733.631450
"LAS FLORES","BARRIO","019",255176.084350,1778027.915350
"LAS CHILCAS","BARRIO","019",255689.678950,1779581.603750
"LAS CHILCAS","BARRIO","019",255723.836950,1779817.527250
"SANTA ANA CALANCHUY","BARRIO","019",254627.748000,1778251.007350
"SANTA ANA CALANCHUY","BARRIO","019",254675.110050,1778455.281600
"BAL�N CAN�N LA REJOYA","BARRIO","019",254173.919850,1778786.115200
"BAL�N CAN�N LA REJOYA","BARRIO","019",254284.130450,1778742.661450
"BAL�N CAN�N LA REJOYA","BARRIO","019",254309.097350,1778936.941650
"BAL�N CAN�N LA REJOYA","BARRIO","019",254389.647450,1778732.998600
"PRIMERO DE MAYO","BARRIO","019",254861.531450,1778868.296950
"PRIMERO DE MAYO","BARRIO","019",254977.576250,1778570.553050
