Nombre,Latitud,Longitud,Distancia_KM,Precio_Calculado,Colonia_Detectada_Google,Municipio,Estado
"GAS VILLATORO",16.2594141,-92.1325248,1.11,45,"El Cedro","Comitán de Domínguez","⚠️  SOSPECHOSA"
"Guadalupe",16.250204,-92.1399414,0.27,45,"Guadalupe","Comitán de Domínguez","✅ OK"
"GUADALUPE",16.233687,-92.142222,1.95,45,"Popular Comitán","Comitán de Domínguez","⚠️  SOSPECHOSA"
"Guadalupe Quistaj",16.2116013,-92.0383407,11.43,70,"N/A","Guadalupe Quistaj","❌ FUERA_DE_COMITAN"
"Hidalgo",16.2841141,-92.2119846,8.79,70,"N/A","Hidalgo","❌ FUERA_DE_COMITAN"
"Infonavit",16.2456672,-92.1436434,0.86,45,"INFONAVIT","Comitán de Domínguez","✅ OK"
"INFONAVIT",16.2456672,-92.1436434,0.86,45,"INFONAVIT","Comitán de Domínguez","✅ OK"
"INFONAVIT Belisario Domínguez",16.2456672,-92.1436434,0.86,45,"INFONAVIT","Comitán de Domínguez","✅ OK"
"Jacarandas",16.2431301,-92.1217041,1.87,45,"Yalchivol","Comitán de Domínguez","⚠️  SOSPECHOSA"
"Jatón",16.2179329,-92.1147256,4.37,60,"Los Sabinos","Chichimá Acapetahua","❌ FUERA_DE_COMITAN"
"Jerusalem",16.2625523,-92.127533,1.70,45,"Jerusalén","Comitán de Domínguez","⚠️  SOSPECHOSA"
"Jerusalen",16.2625523,-92.127533,1.70,45,"Jerusalén","Comitán de Domínguez","✅ OK"
"JERUSALEN",16.243338,-92.113501,2.68,50,"Yalchivol","Comitán de Domínguez","⚠️  SOSPECHOSA"
"Jesusito",16.2347,-92.134,1.80,45,"Cumpata","Comitán de Domínguez","⚠️  SOSPECHOSA"
"JESUSITO",16.23215,-92.122437,2.60,50,"Belisario Domínguez Primera Sección","Comitán de Domínguez","⚠️  SOSPECHOSA"
"Jocote",16.2431301,-92.1217041,1.87,45,"Yalchivol","Comitán de Domínguez","⚠️  SOSPECHOSA"
"Jordan",16.261252,-92.1289137,1.49,45,"Linda Vista María Guadalupe","Comitán de Domínguez","⚠️  SOSPECHOSA"
"JORDAN",16.261252,-92.1289137,1.49,45,"Linda Vista María Guadalupe","Comitán de Domínguez","⚠️  SOSPECHOSA"
"Joyas del Pedregal",16.231513,-92.1441037,2.24,50,"Joyas de Pedregal","Comitán de Domínguez","✅ OK"
"Juan Sabines Guerrero",16.1909384,-92.0852135,8.66,70,"N/A","Juan Sabines Guerrero","❌ FUERA_DE_COMITAN"
"Jusnajab",16.2347403,-92.1339541,1.80,45,"Belisario Domínguez Primera Sección","Comitán de Domínguez","⚠️  SOSPECHOSA"
"La Coca",16.2086484,-92.1273253,4.79,60,"Chichima Guadalupe","Comitán de Domínguez","⚠️  SOSPECHOSA"
"LA COCA",16.263052,-92.133932,1.43,45,"Tepeyac","Comitán de Domínguez","⚠️  SOSPECHOSA"
"La Cueva",16.2486908,-92.1536193,1.74,45,"La Cueva","Comitán de Domínguez","✅ OK"
"LA CUEVA",16.2486908,-92.1536193,1.74,45,"La Cueva","Comitán de Domínguez","✅ OK"
"La Esperanza",16.169577,-92.052428,12.79,70,"N/A","San Juan Copalar","❌ FUERA_DE_COMITAN"
"La Floresta",16.5097199,-92.3105599,34.23,70,"N/A","La Floresta","❌ FUERA_DE_COMITAN"
"La Merced",16.2179329,-92.1147256,4.37,60,"Los Sabinos","Chichimá Acapetahua","❌ FUERA_DE_COMITAN"
"La Palmira",16.4401699,-92.302607,27.48,70,"N/A","Palmira","❌ FUERA_DE_COMITAN"
"La Pileta",16.2408086,-92.1333628,1.17,45,"La Pileta","Comitán de Domínguez","✅ OK"
"LA PILETA",16.244952,-92.132921,0.79,45,"Puente Hidalgo","Comitán de Domínguez","⚠️  SOSPECHOSA"
"La Pilita Seca",16.2570419,-92.1272262,1.30,45,"Pilita Seca","Comitán de Domínguez","✅ OK"
"La Represa",16.2523848,-92.1517774,1.55,45,"La Represa","Comitán de Domínguez","✅ OK"
"LA REPRESA",16.2523848,-92.1517774,1.55,45,"La Represa","Comitán de Domínguez","✅ OK"
"Laguna Larga",16.4197199,-92.25972,22.89,70,"N/A","Laguna Larga","❌ FUERA_DE_COMITAN"
"Las Chilcas",16.2431301,-92.1217041,1.87,45,"Yalchivol","Comitán de Domínguez","⚠️  SOSPECHOSA"
"Las Flores",16.2402716,-92.1502426,1.79,45,"Flores","Comitán de Domínguez","✅ OK"
"Las Granjas",16.2347403,-92.1339541,1.80,45,"Belisario Domínguez Primera Sección","Comitán de Domínguez","⚠️  SOSPECHOSA"
"Las Lajitas",16.263308,-92.1346669,1.44,45,"Tepeyac","Comitán de Domínguez","⚠️  SOSPECHOSA"
"Las Tinajas",16.2618099,-92.131931,1.38,45,"El Cedro","Comitán de Domínguez","⚠️  SOSPECHOSA"
"Latino Americana",16.2431301,-92.1217041,1.87,45,"Yalchivol","Comitán de Domínguez","⚠️  SOSPECHOSA"
"LATINO AMERICANA",16.2431301,-92.1217041,1.87,45,"Yalchivol","Comitán de Domínguez","⚠️  SOSPECHOSA"
"Lázaro Cárdenas",16.2315276,-92.1300539,2.26,50,"Belisario Domínguez Primera Sección","Comitán de Domínguez","⚠️  SOSPECHOSA"
"Libertad",16.2344654,-92.1428761,1.89,45,"Libertad","Comitán de Domínguez","✅ OK"
"Libertad Campanario",16.2397867,-92.1436434,1.37,45,"Lomas del Sur","Comitán de Domínguez","⚠️  SOSPECHOSA"
"Linda Vista",16.2538164,-92.1189432,2.00,50,"San Agustín los Laureles","Comitán de Domínguez","⚠️  SOSPECHOSA"
"LINDA VISTA",16.257038,-92.126191,1.39,45,"Pilita Seca","Comitán de Domínguez","⚠️  SOSPECHOSA"
"Lindavista",16.2179329,-92.1147256,4.37,60,"Los Sabinos","Chichimá Acapetahua","❌ FUERA_DE_COMITAN"
"Lomas del Sur",16.2357286,-92.145178,1.85,45,"Lomas del Sur","Comitán de Domínguez","✅ OK"
"Lomas del Valle",16.2307824,-92.1510695,2.64,50,"N/A","Comitán de Domínguez","⚠️  SOSPECHOSA"
"Los Cipreses",16.2471639,-92.1226244,1.62,45,"Yalchivol","Comitán de Domínguez","⚠️  SOSPECHOSA"
"Los Desamparados",16.2513682,-92.1063683,3.31,50,"N/A","Comitán de Domínguez","⚠️  SOSPECHOSA"
"Los Lagos",16.2268822,-92.11519,3.55,50,"Los Sabinos","Comitán de Domínguez","⚠️  SOSPECHOSA"
"Los Lagos de Montebello",16.2239605,-92.1337338,2.99,50,"Colinas del Sol","Comitán de Domínguez","⚠️  SOSPECHOSA"
"Los Magueyes",16.2486219,-92.1238515,1.46,45,"Los Magueyes","Comitán de Domínguez","✅ OK"
"Los Olivos",16.2546788,-92.1246184,1.44,45,"Los Laureles","Comitán de Domínguez","⚠️  SOSPECHOSA"
"Los Pinos",16.2265172,-92.1316444,2.75,50,"Fraccionamiento Los Pinos","Comitán de Domínguez","✅ OK"
"Los Riegos",16.2319021,-92.1419553,2.14,50,"Popular Comitán","Comitán de Domínguez","⚠️  SOSPECHOSA"
"Los Robles",16.2322233,-92.1465592,2.27,50,"Los Robles","Comitán de Domínguez","✅ OK"
"Los Sabinos",16.2212129,-92.1082083,4.52,60,"N/A","Comitán de Domínguez","⚠️  SOSPECHOSA"
"LOS SABINOS",16.221755,-92.101984,4.96,60,"N/A","Comitán de Domínguez","⚠️  SOSPECHOSA"
"Luis Donaldo Colosio",16.2386657,-92.1454849,1.58,45,"Luis Donaldo Colosio","Comitán de Domínguez","✅ OK"
"Magueyes",16.2486219,-92.1238515,1.46,45,"Los Magueyes","Comitán de Domínguez","✅ OK"
"MAGUEYES",16.23215,-92.122437,2.60,50,"Belisario Domínguez Primera Sección","Comitán de Domínguez","⚠️  SOSPECHOSA"
"Mariano N Ruiz",16.229133,-92.1288063,2.56,50,"Belisario Domínguez Primera Sección","Comitán de Domínguez","⚠️  SOSPECHOSA"
"MARIANO N RUIZ",16.231497,-92.131146,2.23,50,"Belisario Domínguez Primera Sección","Comitán de Domínguez","⚠️  SOSPECHOSA"
"Mariano N Ruíz",16.2255136,-92.11925,3.40,50,"Mariano N. Ruiz","Comitán de Domínguez","✅ OK"
"Mariano Ruiz",16.229133,-92.1288063,2.56,50,"Belisario Domínguez Primera Sección","Comitán de Domínguez","⚠️  SOSPECHOSA"
"Maya",16.2446448,-92.1539263,1.88,45,"Maya","Comitán de Domínguez","✅ OK"
"Microondas",16.246386,-92.1269194,1.21,45,"Microondas","Comitán de Domínguez","✅ OK"
"MICROONDAS",16.246638,-92.127125,1.18,45,"Microondas","Comitán de Domínguez","✅ OK"
"Miguel Alemán",16.2179329,-92.1147256,4.37,60,"Los Sabinos","Chichimá Acapetahua","❌ FUERA_DE_COMITAN"
"Miramar",16.246463,-92.1190919,2.01,50,"Miramar","Comitán de Domínguez","✅ OK"
"MIRAMAR",16.246463,-92.1190919,2.01,50,"Miramar","Comitán de Domínguez","✅ OK"
"Monte Verde",16.2304483,-92.1449031,2.38,50,"Buenavista","Comitán de Domínguez","⚠️  SOSPECHOSA"
"MONTE VERDE",16.229668,-92.145081,2.47,50,"Buenavista","Comitán de Domínguez","⚠️  SOSPECHOSA"
"Nicalocok",16.2400183,-92.1388864,1.19,45,"Nicalocok","Comitán de Domínguez","✅ OK"
"Nicalokock",16.2400183,-92.1388864,1.19,45,"Nicalocok","Comitán de Domínguez","⚠️  SOSPECHOSA"
"NICALOKOCK",16.2400183,-92.1388864,1.19,45,"Nicalocok","Comitán de Domínguez","⚠️  SOSPECHOSA"
"Nuevo Belén",16.2665804,-92.1335116,1.82,45,"Bugambilias","Comitán de Domínguez","⚠️  SOSPECHOSA"
"Orquideas",16.2422311,-92.1492825,1.57,45,"Flores","Comitán de Domínguez","⚠️  SOSPECHOSA"
"ORQUIDEAS",16.2422311,-92.1492825,1.57,45,"Flores","Comitán de Domínguez","⚠️  SOSPECHOSA"
