Nombre,Latitud,Longitud,Distancia_KM,Precio_Calculado,Colonia_Detectada_Google,Municipio,Estado
"SANTA CECILIA",16.233244,-92.142012,1.99,45,"Popular Comitán","Comitán de Domínguez","⚠️  SOSPECHOSA"
"Santa Cruz",16.2396843,-92.1594659,2.65,50,"Pashtón Acapulco","Comitán de Domínguez","⚠️  SOSPECHOSA"
"Santa María",16.2549583,-92.124235,1.49,45,"Los Laureles","Comitán de Domínguez","⚠️  SOSPECHOSA"
"Santa Rosalía",16.474935,-92.251347,27.75,70,"N/A","Santa Rosalía","❌ FUERA_DE_COMITAN"
"Señor del Pozo",16.2904372,-92.112079,5.19,60,"N/A","Señor del Pozo","❌ FUERA_DE_COMITAN"
"Siete Esquinas",16.2580863,-92.1330559,0.95,45,"Siete Esquinas","Comitán de Domínguez","✅ OK"
"SIETE ESQUINAS",16.2580863,-92.1330559,0.95,45,"Siete Esquinas","Comitán de Domínguez","✅ OK"
"Solidaridad Comiteca",16.2431301,-92.1217041,1.87,45,"Yalchivol","Comitán de Domínguez","⚠️  SOSPECHOSA"
"Tenam",16.2363048,-92.1574233,2.66,50,"Tenam","Comitán de Domínguez","✅ OK"
"TENAM",16.236481,-92.15369,2.34,50,"Tenam","Comitán de Domínguez","✅ OK"
"Tepeyac",16.2631304,-92.1340532,1.44,45,"Tepeyac","Comitán de Domínguez","✅ OK"
"Terrazas",16.240892,-92.1236654,1.82,45,"Yalchivol","Comitán de Domínguez","⚠️  SOSPECHOSA"
"Tikal",16.2431301,-92.1217041,1.87,45,"Yalchivol","Comitán de Domínguez","⚠️  SOSPECHOSA"
"Tinajas",16.2262329,-92.1120933,3.83,50,"La Tinajas","Comitán de Domínguez","✅ OK"
"TINAJAS",16.2262329,-92.1120933,3.83,50,"La Tinajas","Comitán de Domínguez","✅ OK"
"Tucanes",16.2347403,-92.1339541,1.80,45,"Belisario Domínguez Primera Sección","Comitán de Domínguez","⚠️  SOSPECHOSA"
